Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
1,1419400000.000000,-1.011759338e+02
2,1419404347.826087,-1.011628342e+02
3,1419408695.652174,-1.010434875e+02
4,1419413043.478261,-1.011821671e+02
5,1419417391.304348,-1.012649307e+02
6,1419421739.130435,-1.012037430e+02
7,1419426086.956522,-1.012430878e+02
8,1419430434.782609,-1.011729355e+02
9,1419434782.608696,-1.011767883e+02
10,1419439130.434783,-1.012666397e+02
11,1419443478.260870,-1.012748718e+02
12,1419447826.086957,-1.012414322e+02
13,1419452173.913043,-1.012261353e+02
14,1419456521.739130,-1.014106903e+02
15,1419460869.565217,-1.013293533e+02
16,1419465217.391304,-1.013871841e+02
17,1419469565.217391,-1.012791214e+02
18,1419473913.043478,-1.013102188e+02
19,1419478260.869565,-1.013851242e+02
20,1419482608.695652,-1.011919556e+02
21,1419486956.521739,-1.012562790e+02
22,1419491304.347826,-1.011926727e+02
23,1419495652.173913,-1.012819595e+02
24,1419500000.000000,-1.013122559e+02
25,1419504347.826087,-1.013335876e+02
26,1419508695.652174,-1.012834778e+02
27,1419513043.478261,-1.012701416e+02
28,1419517391.304348,-1.012736969e+02
29,1419521739.130435,-1.013334961e+02
30,1419526086.956522,-1.012252960e+02
31,1419530434.782609,-1.011917648e+02
32,1419534782.608696,-1.012213974e+02
33,1419539130.434783,-1.011934509e+02
34,1419543478.260870,-1.011928864e+02
35,1419547826.086957,-1.012034988e+02
36,1419552173.913043,-1.010927887e+02
37,1419556521.739130,-1.012861328e+02
38,1419560869.565217,-1.012533951e+02
39,1419565217.391304,-1.012483215e+02
40,1419569565.217391,-1.012454300e+02
41,1419573913.043478,-1.013881454e+02
42,1419578260.869565,-1.011479340e+02
43,1419582608.695652,-1.012861557e+02
44,1419586956.521739,-1.013006897e+02
45,1419591304.347826,-1.011198349e+02
46,1419595652.173913,-1.011754303e+02
47,1419600000.000000,-1.011929474e+02
48,1419604347.826087,-1.011569595e+02
49,1419608695.652174,-1.012548523e+02
50,1419613043.478261,-1.012657700e+02
51,1419617391.304348,-1.011925735e+02
52,1419621739.130435,-1.011788025e+02
53,1419626086.956522,-1.012208252e+02
54,1419630434.782609,-1.012417374e+02
55,1419634782.608696,-1.012890549e+02
56,1419639130.434783,-1.011778793e+02
57,1419643478.260870,-1.012635803e+02
58,1419647826.086957,-1.011384735e+02
59,1419652173.913043,-1.013027725e+02
60,1419656521.739130,-1.012394562e+02
61,1419660869.565217,-1.012213287e+02
62,1419665217.391304,-1.010553970e+02
63,1419669565.217391,-1.010619659e+02
64,1419673913.043478,-1.012592697e+02
65,1419678260.869565,-1.012011795e+02
66,1419682608.695652,-1.011859818e+02
67,1419686956.521739,-1.012000275e+02
68,1419691304.347826,-1.012027512e+02
69,1419695652.173913,-1.011608353e+02
70,1419700000.000000,-1.010916519e+02
71,1419704347.826087,-1.011823120e+02
72,1419708695.652174,-1.011893539e+02
73,1419713043.478261,-1.010670776e+02
74,1419717391.304348,-1.011485748e+02
75,1419721739.130435,-1.012119675e+02
76,1419726086.956522,-1.011548004e+02
77,1419730434.782609,-1.010629349e+02
78,1419734782.608696,-1.011497726e+02
79,1419739130.434783,-1.012274399e+02
80,1419743478.260870,-1.013471222e+02
81,1419747826.086957,-1.014270935e+02
82,1419752173.913043,-1.012995834e+02
83,1419756521.739130,-1.013647614e+02
84,1419760869.565217,-1.012636871e+02
85,1419765217.391304,-1.013020096e+02
86,1419769565.217391,-1.014066391e+02
87,1419773913.043478,-1.013488083e+02
88,1419778260.869565,-1.012479324e+02
89,1419782608.695652,-1.012422333e+02
90,1419786956.521739,-1.012797775e+02
91,1419791304.347826,-1.011015015e+02
92,1419795652.173913,-1.012460251e+02
93,1419800000.000000,-1.012054825e+02
94,1419804347.826087,-1.011843262e+02
95,1419808695.652174,-1.012262650e+02
96,1419813043.478261,-1.012847214e+02
97,1419817391.304348,-1.011702118e+02
98,1419821739.130435,-1.011669693e+02
99,1419826086.956522,-1.012349472e+02
100,1419830434.782609,-1.011786041e+02
101,1419834782.608696,-1.011191406e+02
102,1419839130.434783,-1.012678604e+02
103,1419843478.260870,-1.012082977e+02
104,1419847826.086957,-1.011209030e+02
105,1419852173.913043,-1.011417999e+02
106,1419856521.739130,-1.012236938e+02
107,1419860869.565217,-1.012864914e+02
108,1419865217.391304,-1.012344818e+02
109,1419869565.217391,-1.011414108e+02
110,1419873913.043478,-1.011021118e+02
111,1419878260.869565,-1.010703430e+02
112,1419882608.695652,-1.012052307e+02
113,1419886956.521739,-1.010912704e+02
114,1419891304.347826,-1.011250000e+02
115,1419895652.173913,-1.010561829e+02
116,1419900000.000000,-1.012673492e+02
117,1419904347.826087,-1.011325378e+02
118,1419908695.652174,-1.010905304e+02
119,1419913043.478261,-1.011070251e+02
120,1419917391.304348,-1.012280426e+02
121,1419921739.130435,-1.010032578e+02
122,1419926086.956522,-1.011420212e+02
123,1419930434.782609,-1.010671387e+02
124,1419934782.608696,-1.010432510e+02
125,1419939130.434783,-1.012313690e+02
126,1419943478.260870,-1.011020737e+02
127,1419947826.086957,-1.010135498e+02
128,1419952173.913043,-1.010458221e+02
129,1419956521.739130,-1.011190567e+02
130,1419960869.565217,-1.010492096e+02
131,1419965217.391304,-1.011003952e+02
132,1419969565.217391,-1.011881180e+02
133,1419973913.043478,-1.009850082e+02
134,1419978260.869565,-1.010160446e+02
135,1419982608.695652,-1.009757385e+02
136,1419986956.521739,-1.009289017e+02
137,1419991304.347826,-1.008568115e+02
138,1419995652.173913,-1.010935593e+02
139,1420000000.000000,-1.009923401e+02
140,1420004347.826087,-1.009319382e+02
141,1420008695.652174,-1.009767685e+02
142,1420013043.478261,-1.009302750e+02
143,1420017391.304348,-1.010011292e+02
144,1420021739.130435,-1.010106964e+02
145,1420026086.956522,-1.011565628e+02
146,1420030434.782609,-1.010025406e+02
147,1420034782.608696,-1.011190491e+02
148,1420039130.434783,-1.011524277e+02
149,1420043478.260870,-1.011623993e+02
150,1420047826.086957,-1.011784515e+02
151,1420052173.913043,-1.011814957e+02
152,1420056521.739130,-1.011500473e+02
153,1420060869.565217,-1.010181427e+02
154,1420065217.391304,-1.010083313e+02
155,1420069565.217391,-1.011233597e+02
156,1420073913.043478,-1.010196228e+02
157,1420078260.869565,-1.011692276e+02
158,1420082608.695652,-1.010989609e+02
159,1420086956.521739,-1.011552887e+02
160,1420091304.347826,-1.011202164e+02
161,1420095652.173913,-1.010365067e+02
162,1420100000.000000,-1.009771042e+02
163,1420104347.826087,-1.009084091e+02
164,1420108695.652174,-1.010626678e+02
165,1420113043.478261,-1.011930923e+02
166,1420117391.304348,-1.011122208e+02
167,1420121739.130435,-1.010475998e+02
168,1420126086.956522,-1.010708466e+02
169,1420130434.782609,-1.010983658e+02
170,1420134782.608696,-1.011497803e+02
171,1420139130.434783,-1.010675201e+02
172,1420143478.260870,-1.010267563e+02
173,1420147826.086957,-1.011122513e+02
174,1420152173.913043,-1.011669617e+02
175,1420156521.739130,-1.012776947e+02
176,1420160869.565217,-1.011823349e+02
177,1420165217.391304,-1.011089096e+02
178,1420169565.217391,-1.010241089e+02
179,1420173913.043478,-1.010234756e+02
180,1420178260.869565,-1.009737244e+02
181,1420182608.695652,-1.010985641e+02
182,1420186956.521739,-1.011096497e+02
183,1420191304.347826,-1.010489349e+02
